GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
"fitzpatrick, ageGroup",3.0,,50-54,14,0.12,0.22,0.21,0.26,3,11,11,31,3,0,0.0,8,3,0.5,2,0,0.0,12,0,0.0,0,9,0.64,5,0,0.0,6,2,0.25,6,0,0.0
"fitzpatrick, ageGroup",3.0,,55-59,4,0.0,0.25,0.0,0.33,0,4,4,8,0,0,0.0,4,0,0.0,4,0,0.0,0,0,0.0,0,3,0.75,1,0,0.0,0,1,0.25,3,0,0.0
"fitzpatrick, ageGroup",4.0,,0-4,56,0.18,0.2,0.3,0.23,17,39,39,129,8,2,0.06,31,15,0.65,0,27,0.48,29,0,0.0,22,8,0.25,24,2,0.08,9,2,0.04,45,0,0.0
"fitzpatrick, ageGroup",4.0,,10-14,20,0.25,0.35,0.1,0.3,2,18,18,42,0,2,0.11,16,2,1.0,7,3,0.23,10,0,0.0,0,6,0.3,14,0,0.0,11,7,0.77,2,0,0.0
"fitzpatrick, ageGroup",4.0,,15-19,8,0.0,0.34,0.0,0.33,0,8,8,16,0,1,0.12,7,0,0.0,4,0,0.0,4,0,0.0,0,4,0.5,4,0,0.0,4,3,0.75,1,0,0.0
"fitzpatrick, ageGroup",4.0,,20-24,21,0.0,0.29,0.0,0.33,0,21,21,42,0,3,0.14,18,0,0.0,9,2,0.16,10,0,0.0,0,14,0.66,7,0,0.0,12,2,0.22,7,0,0.0
"fitzpatrick, ageGroup",4.0,,25-29,36,0.25,0.22,0.19,0.26,7,29,29,79,0,3,0.1,26,7,1.0,7,0,0.0,29,0,0.0,0,24,0.66,12,0,0.0,22,2,0.14,12,0,0.0
"fitzpatrick, ageGroup",4.0,,30-34,29,0.4,0.25,0.17,0.27,5,24,24,63,0,2,0.07,25,2,1.0,6,0,0.0,23,0,0.0,1,20,0.74,7,1,0.5,17,2,0.2,8,2,0.1
"fitzpatrick, ageGroup",4.0,,35-39,13,0.0,0.28,0.0,0.33,0,13,13,26,0,3,0.23,10,0,0.0,8,0,0.0,5,0,0.0,0,7,0.53,6,0,0.0,5,3,0.37,5,0,0.0
"fitzpatrick, ageGroup",4.0,,40-44,4,0.0,0.37,0.0,0.33,0,4,4,8,2,0,0.0,2,0,0.0,0,0,0.0,4,0,0.0,0,2,0.5,2,0,0.0,2,2,1.0,0,0,0.0
