GroupBy,fitzpatrick,sex,ageGroup,country,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
"fitzpatrick, ageGroup",3.0,,25-29,,15,0.62,0.06,0.87,0.04,13.0,2.0,2.0,43.0,0.822,1.0,0.0,0.0,12.0,2.0,0.67,0.0,1.0,0.12,7.0,7.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,1.0,0.1,9.0,4.0,0.8
"fitzpatrick, ageGroup",3.0,,30-34,,3,0.38,0.12,0.67,0.11,2.0,1.0,1.0,8.0,0.75,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0
"fitzpatrick, ageGroup",3.0,,35-39,,8,0.1,0.19,0.25,0.25,2.0,6.0,6.0,18.0,0.2,0.0,2.0,0.25,6.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.4,0.0,4.0,0.5,4.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,40-44,,7,0.07,0.18,0.29,0.24,2.0,5.0,5.0,16.0,0.286,0.0,2.0,0.29,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.29,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.43,4.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,45-49,,6,0.45,0.05,0.83,0.06,5.0,1.0,1.0,17.0,0.9,1.0,0.0,0.0,1.0,4.0,0.8,0.0,1.0,0.2,4.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,50-54,,14,0.42,0.18,0.57,0.14,8.0,6.0,6.0,36.0,0.556,2.0,2.0,0.25,6.0,4.0,0.67,1.0,0.0,0.0,12.0,1.0,0.5,0.0,1.0,0.07,13.0,0.0,0.0,3.0,3.0,0.38,5.0,3.0,0.5
"fitzpatrick, ageGroup",3.0,,55-59,,4,0.12,0.12,0.5,0.17,2.0,2.0,2.0,10.0,0.5,0.0,2.0,0.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
"fitzpatrick, ageGroup",4.0,,00-04,,56,0.46,0.12,0.62,0.12,35.0,21.0,21.0,147.0,0.609,11.0,3.0,0.09,30.0,12.0,0.52,0.0,5.0,0.09,51.0,0.0,0.0,6.0,3.0,0.09,29.0,18.0,0.75,4.0,10.0,0.21,37.0,5.0,0.56
"fitzpatrick, ageGroup",4.0,,05-09,,37,0.72,0.1,0.65,0.12,24.0,13.0,13.0,98.0,0.715,5.0,0.0,0.0,28.0,4.0,0.44,0.0,10.0,0.29,25.0,2.0,1.0,6.0,1.0,0.05,18.0,12.0,0.67,2.0,2.0,0.07,27.0,6.0,0.75
"fitzpatrick, ageGroup",4.0,,10-14,,20,0.61,0.1,0.7,0.1,14.0,6.0,6.0,54.0,0.818,0.0,2.0,0.11,16.0,2.0,1.0,0.0,3.0,0.23,10.0,7.0,1.0,0.0,1.0,0.05,19.0,0.0,0.0,6.0,0.0,0.0,9.0,5.0,0.45
