GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
"fitzpatrick, ageGroup",5.0,,25-29,22,0.37,0.14,0.55,0.15,12.0,10.0,10.0,56.0,0.49,2.0,7.0,0.37,12.0,1.0,0.33,4.0,1.0,0.07,13.0,4.0,0.5,0.0,1.0,0.05,21.0,0.0,0.0,4.0,1.0,0.09,10.0,7.0,0.64
"fitzpatrick, ageGroup",5.0,,30-34,10,0.67,0.03,0.9,0.03,9.0,1.0,1.0,29.0,0.889,1.0,0.0,0.0,7.0,2.0,0.67,0.0,1.0,0.12,7.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0
"fitzpatrick, ageGroup",5.0,,35-39,5,0.67,0.06,0.8,0.07,4.0,1.0,1.0,14.0,0.889,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.25,3.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.67
"fitzpatrick, ageGroup",5.0,,40-44,2,0.0,0.25,0.0,0.33,0.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",5.0,,45-49,4,0.17,0.31,0.5,0.17,2.0,2.0,2.0,10.0,0.333,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.67
"fitzpatrick, ageGroup",5.0,,50-54,6,0.75,0.0,1.0,0.0,6.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
"fitzpatrick, ageGroup",5.0,,55-59,11,0.62,0.06,0.82,0.06,9.0,2.0,2.0,31.0,0.833,1.0,0.0,0.0,7.0,3.0,0.75,1.0,1.0,0.14,6.0,3.0,0.75,0.0,0.0,0.0,8.0,3.0,1.0,0.0,1.0,0.09,10.0,0.0,0.0
"fitzpatrick, ageGroup",5.0,,60-64,1,0.0,0.25,0.0,0.33,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,00-04,20,0.37,0.16,0.55,0.15,11.0,9.0,9.0,51.0,0.49,2.0,2.0,0.12,15.0,1.0,0.33,4.0,2.0,0.22,7.0,7.0,0.64,0.0,3.0,0.15,17.0,0.0,0.0,3.0,2.0,0.14,12.0,3.0,0.5
"fitzpatrick, ageGroup",6.0,,05-09,28,0.45,0.05,0.93,0.02,26.0,2.0,2.0,82.0,0.6,1.0,1.0,0.04,26.0,0.0,0.0,0.0,1.0,0.17,5.0,22.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,23.0,4.0,0.8
"fitzpatrick, ageGroup",6.0,,10-14,1,0.0,0.25,0.0,0.33,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,15-19,6,0.25,0.21,0.5,0.17,3.0,3.0,3.0,15.0,0.5,2.0,0.0,0.0,3.0,1.0,0.33,1.0,2.0,0.67,1.0,2.0,0.67,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.17,5.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,20-24,3,0.5,0.0,1.0,0.0,3.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
"fitzpatrick, ageGroup",6.0,,25-29,2,0.25,0.12,0.5,0.17,1.0,1.0,1.0,5.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,30-34,6,0.38,0.08,0.67,0.11,4.0,2.0,2.0,16.0,0.75,0.0,2.0,0.33,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.5,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,35-39,6,0.19,0.21,0.33,0.22,2.0,4.0,4.0,14.0,0.375,3.0,0.0,0.0,2.0,1.0,0.25,1.0,2.0,0.5,2.0,1.0,0.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.33,4.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,40-44,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,50-54,1,0.0,0.25,0.0,0.33,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"sex, ageGroup",,f,00-04,123,0.74,0.09,0.73,0.09,90.0,33.0,33.0,336.0,0.741,10.0,12.0,0.13,77.0,24.0,0.71,2.0,6.0,0.06,103.0,12.0,0.86,4.0,9.0,0.11,73.0,37.0,0.9,17.0,6.0,0.07,83.0,17.0,0.5
